passage_id,question,passage,has_answer
1996_465_222,Co określa regulamin rady nadzorczej?,"§1. Rada nadzorcza podejmuje uchwały, jeżeli na posiedzeniu jest obecna co
     najmniej połowa jej członków, a wszyscy jej członkowie zostali zaproszeni.
     Umowa spółki może przewidywać surowsze wymagania dotyczące kworum rady
     nadzorczej.
 §2. Z przebiegu posiedzenia rady nadzorczej sporządza się protokół.
 §3. Umowa spółki może przewidywać, że członkowie rady nadzorczej mogą brać
     udział w podejmowaniu uchwał rady nadzorczej, oddając swój głos na piśmie
     za pośrednictwem innego członka rady nadzorczej. Oddanie głosu na piśmie
     nie może dotyczyć spraw wprowadzonych do porządku obrad na posiedzeniu
     rady nadzorczej.
 §4. Podejmowanie uchwał przez radę nadzorczą w trybie pisemnym lub przy
     wykorzystaniu środków bezpośredniego porozumiewania się na odległość jest
     dopuszczalne tylko w przypadku, gdy umowa spółki tak stanowi. Uchwała jest
     ważna, gdy wszyscy członkowie rady nadzorczej zostali powiadomieni o
     treści projektu uchwały.
 §5. Podejmowanie uchwał w trybie określonym w § 3 i § 4 nie dotyczy wyborów
     przewodniczącego i wiceprzewodniczącego rady nadzorczej, powołania członka
     zarządu oraz odwołania i zawieszania w czynnościach tych osób.
 §6. Zgromadzenie wspólników może uchwalać regulamin rady nadzorczej,
     określający jej organizację i sposób wykonywania czynności. Zgromadzenie
     wspólników może upoważnić radę nadzorczą do uchwalenia jej regulaminu.
 §7. Przepisy § 1-6 stosuje się odpowiednio do komisji rewizyjnej.",True
1997_938_16,Co określa regulamin rady nadzorczej?,"1. Posiedzenia Rady zwołuje Przewodniczący co najmniej raz w miesiącu.
 2. Tryb działania Rady określa regulamin uchwalony przez Radę większością 
   głosów.
 3. Ustalenia Rady podejmowane są w formie uchwał większością głosów przy 
   obecności co najmniej 5 członków, w tym Przewodniczącego Rady. W 
   przypadku równej liczby głosów rozstrzyga głos Przewodniczącego Rady.
 4. Stanowiska zajęte przez członków Rady w głosowaniu podlegają ogłoszeniu
   w Monitorze Sądowym i Gospodarczym po upływie 6 tygodni, ale nie 
   później niż 3 miesięcy od daty podjęcia uchwały.
                                    
                             C. Zarząd NBP",False
1997_153_77,Co określa regulamin rady nadzorczej?,"1. Rada nadzorcza wybiera spośród swoich członków będących reprezentantami
   zgromadzenia przedstawicieli ubezpieczonych prezesa, wiceprezesów 
   i sekretarza rady, a także przewodniczącego komisji rewizyjnej.
 2. Prezes, wiceprezesi i sekretarz stanowią prezydium rady nadzorczej.
 3. Zadania i tryb pracy prezydium określa statut.",False
1996_465_391,Co określa regulamin rady nadzorczej?,"§1. Uchwały rady nadzorczej zapadają bezwzględną większością głosów, chyba że
     statut stanowi inaczej. Statut może przewidywać, że w przypadku równości
     głosów rozstrzyga głos przewodniczącego rady nadzorczej.
 §2. Do protokołów rady nadzorczej stosuje się odpowiednio przepisy dotyczące
     protokołów zarządu.
 §3. Walne zgromadzenie może uchwalić regulamin rady nadzorczej, określający
     jej organizację i sposób wykonywania czynności. Statut może upoważnić radę
     nadzorczą do uchwalenia jej regulaminu.",True
1996_465_388,Co określa regulamin rady nadzorczej?,"§1. Rada nadzorcza podejmuje uchwały, jeżeli na posiedzeniu jest obecna co
     najmniej połowa jej członków a wszyscy jej członkowie zostali zaproszeni.
     Statut może przewidywać surowsze wymagania dotyczące kworum rady
     nadzorczej.
 §2. Statut może przewidywać, że członkowie rady nadzorczej mogą brać udział w
     podejmowaniu uchwał rady, oddając swój głos na piśmie za pośrednictwem
     innego członka rady nadzorczej. Oddanie głosu na piśmie nie może dotyczyć
     spraw wprowadzonych do porządku obrad na posiedzeniu rady nadzorczej.
 §3. Podejmowanie uchwał przez radę nadzorczą w trybie pisemnym lub przy
     wykorzystaniu środków bezpośredniego porozumiewania się na odległość jest
     dopuszczalne tylko w przypadku gdy statut tak stanowi. Uchwała jest ważna,
     gdy wszyscy członkowie rady zostali powiadomieni o treści projektu
     uchwały.
 §4. Podejmowanie uchwał w trybie określonym w § 2 i § 3 nie dotyczy wyborów
     przewodniczącego i wiceprzewodniczącego rady nadzorczej, powołania członka
     zarządu oraz odwołania i zawieszania w czynnościach tych osób.",False
1997_938_48,Czy Kościół może sprzedawać swoje mienie?,"NBP może:
   1) emitować i sprzedawać papiery wartościowe,
   2) sprzedawać i kupować skarbowe papiery wartościowe w operacjach 
     otwartego rynku,
   3) organizować obrót papierami wartościowymi, których jest emitentem, 
     oraz skarbowymi papierami wartościowymi.",False
1997_254_3,Czy Kościół może sprzedawać swoje mienie?,"1. Kościół jest niezależny od jakiejkolwiek zagranicznej władzy duchownej lub 
   świeckiej.
 2. Kościół, jako część składowa światowego nurtu zielonoświątkowego, jest 
   członkiem Europejskiego Stowarzyszenia Zielonoświątkowego i Światowego
   Stowarzyszenia Zielonoświątkowych Zborów Bożych oraz uczestniczy w 
   Światowej Konferencji Zielonoświątkowej.
 3. Wypełniając swoje funkcje Kościół współdziała z innymi kościołami i organizacjami
   religijnymi w kraju i za granicą, może należeć do krajowych organizacji
   międzykościelnych, a także międzynarodowych organizacji wyznaniowych
   i międzywyznaniowych.
 4. Państwo zapewnia Kościołowi, jego osobom prawnym i wyznawcom swobodę
   utrzymywania stosunków i komunikowania się z podmiotami, o których
   mowa w ust. 2 i 3, a także z innymi wspólnotami i instytucjami, organizacjami
   i osobami w kraju i za granicą.
 
                               Rozdział 2
                   Osoby prawne Kościoła i ich organy",False
1997_253_25,Czy Kościół może sprzedawać swoje mienie?,"Kościołowi i jego osobom prawnym przysługuje prawo nabywania, posiadania i 
zbywania mienia ruchomego i nieruchomego, nabywania i zbywania innych 
praw oraz swobodnego zarządzania swoim majątkiem.",True
1997_557_189,Czy Kościół może sprzedawać swoje mienie?,"Przepadek rzeczy głównej obejmuje również przynależności tej rzeczy, chyba 
że co innego wynika z orzeczenia.",False
1997_554_2,Czy Kościół może sprzedawać swoje mienie?,"1. Kościół rządzi się w swoich sprawach wewnętrznych przepisami Prawa Wewnętrznego,
  swobodnie wykonując swoje funkcje i cele.
2. Prawo Wewnętrzne, o którym mowa w ust. 1, jest uchwalane przez Synod 
  Kościoła.
3. Kościół jest samodzielny i niezależny od jakiejkolwiek pozakrajowej władzy 
  duchownej i świeckiej.
4. Wypełniając swoje funkcje Kościół może współdziałać z innymi kościołami 
  w kraju i za granicą, należeć do krajowych organizacji miedzykościelnych, a 
  także miedzynarodowych organizacji wyznaniowych i międzywyznaniowych.
5. Kościół może otaczać opieką duszpasterską współwyznawców spośród osób 
  innych narodowości zamieszkałych bądź przebywających czasowo na terytorium
  Rzeczypospolitej Polskiej.
                              Rozdział II
                   Osoby prawne Kościoła i ich organy",False
